symbol,company_name,sector_yf,industry_yf,sector_bucket,market_cap_cr,market_cap_cr_known,trailing_pe,trailing_pe_known,forward_pe,forward_pe_known,price_to_book,price_to_book_known,debt_to_equity,debt_to_equity_known,roe,roe_known,roa,roa_known,operating_margin,operating_margin_known,net_profit_margin,net_profit_margin_known,gross_margin,gross_margin_known,revenue_growth,revenue_growth_known,earnings_growth,earnings_growth_known,current_ratio,current_ratio_known,quick_ratio,quick_ratio_known,total_cash_cr,total_cash_cr_known,total_debt_cr,total_debt_cr_known,free_cashflow_cr,free_cashflow_cr_known,operating_cashflow_cr,operating_cashflow_cr_known,dividend_yield,dividend_yield_known,beta,beta_known,profitability_score,growth_score,balance_sheet_score,cashflow_score,valuation_score,fundamental_score,fundamental_data_coverage,fundamental_reasons,fundamental_risk_reasons,sector_adjustment,sector_adjusted_fundamental_score,sector_adjustment_reasons
BHANDARI,Bhandari Hosiery Exports Limited,Consumer Cyclical,Apparel Manufacturing,Consumer Discretionary,99.55,True,10.3103,True,,False,0.5126,True,57.828,True,,False,,False,8.23,True,2.77,True,29.97,True,-19.3,True,-40.7,True,,False,,False,19.15,True,106.02,True,,False,,False,33.0,True,0.511,True,0.0,0.0,4.0,0.0,12.0,16.0,0.57,,"Revenue contraction, Earnings contraction",2.0,18.0,General low-debt support
TIGERLOGS,Tiger Logistics (India) Limited,Industrials,Integrated Freight & Logistics,Capital Goods / Infra,276.26,True,14.2787,True,,False,0.5239,True,31.442,True,,False,,False,1.66,True,3.05,True,5.42,True,48.8,True,-51.1,True,,False,,False,41.45,True,50.3,True,,False,,False,,False,0.61,True,0.0,10.0,7.0,0.0,10.0,27.0,0.5,,Earnings contraction,5.0,32.0,Strong order-book-driven revenue growth
S&SPOWER,S&S Power Switchgear Limited,Industrials,Electrical Equipment & Parts,Capital Goods / Infra,393.7,True,48.7768,True,,False,4.4163,True,44.204,True,,False,,False,1.5,True,2.93,True,33.24,True,20.0,True,,False,,False,,False,26.29,True,39.45,True,,False,,False,,False,0.44,True,0.0,8.0,7.0,0.0,4.0,19.0,0.43,,,5.0,24.0,Strong order-book-driven revenue growth
PRAKASH,Prakash Industries Limited,Basic Materials,Steel,Metals / Mining,2122.3,True,6.7797,True,3.6577,True,0.5914,True,14.363,True,,False,,False,10.12,True,9.01,True,41.33,True,-0.5,True,-22.0,True,,False,,False,195.46,True,515.4,True,,False,,False,1.52,True,0.471,True,6.0,0.0,9.0,0.0,14.0,29.0,0.57,,"Revenue contraction, Earnings contraction",2.0,31.0,General low-debt support
GUJAPOLLO,Gujarat Apollo Industries Limited,Industrials,Specialty Industrial Machinery,Capital Goods / Infra,454.08,True,78.6742,True,,False,0.9018,True,8.058,True,,False,,False,-48.7,True,9.34,True,26.16,True,-10.0,True,-35.4,True,,False,,False,1.37,True,40.85,True,,False,,False,57.0,True,-0.084,True,3.0,0.0,9.0,0.0,6.0,18.0,0.57,,"Revenue contraction, Earnings contraction",0.0,18.0,
AMBUJACEM,Ambuja Cements Limited,Basic Materials,Building Materials,Cement / Realty,96485.45,True,21.7901,True,26.7587,True,1.6173,True,1.205,True,,False,,False,7.95,True,11.13,True,56.82,True,-7.7,True,-27.5,True,,False,,False,908.95,True,865.93,True,,False,,False,52.0,True,0.208,True,3.0,0.0,12.0,0.0,10.0,25.0,0.57,Cash covers debt,"Revenue contraction, Earnings contraction",2.0,27.0,General low-debt support
SHALBY,Shalby Limited,Healthcare,Medical Care Facilities,Pharma / Healthcare,1480.11,True,39.3314,True,14.6447,True,1.4584,True,59.122,True,,False,,False,6.9,True,3.34,True,23.88,True,11.7,True,38.0,True,,False,,False,84.2,True,594.58,True,,False,,False,,False,0.62,True,0.0,15.0,4.0,0.0,9.0,28.0,0.5,,,2.0,30.0,General low-debt support
DHANUKA,Dhanuka Agritech Limited,Basic Materials,Agricultural Inputs,General,4338.81,True,16.3662,True,13.3787,True,2.6087,True,1.822,True,,False,,False,8.77,True,13.72,True,40.21,True,-12.6,True,-34.5,True,,False,,False,320.86,True,30.64,True,,False,,False,21.0,True,0.317,True,5.0,0.0,12.0,0.0,15.0,32.0,0.57,Cash covers debt,"Revenue contraction, Earnings contraction",2.0,34.0,General low-debt support
SHARDACROP,Sharda Cropchem Limited,Basic Materials,Agricultural Inputs,General,6704.28,True,10.7059,True,9.0357,True,2.1375,True,0.104,True,,False,,False,3.96,True,11.85,True,35.23,True,4.9,True,-38.3,True,,False,,False,701.67,True,3.27,True,,False,,False,2.02,True,0.584,True,3.0,2.0,12.0,0.0,15.0,32.0,0.57,Cash covers debt,Earnings contraction,2.0,34.0,General low-debt support
KIOCL,KIOCL Limited,Basic Materials,Steel,Metals / Mining,20703.04,True,524.0769,True,,False,11.9242,True,11.051,True,,False,,False,-22.02,True,5.71,True,27.62,True,73.8,True,,False,,False,,False,825.83,True,191.87,True,,False,,False,,False,0.594,True,0.0,10.0,12.0,0.0,0.0,22.0,0.43,Cash covers debt,Very high PE,2.0,24.0,General low-debt support
