symbol,sector,company_name
CHEMPLASTS,Unknown,Chemplast Sanmar Limited
CHENNPETRO,Unknown,Chennai Petroleum Corporation Limited
CHEVIOT,Unknown,Cheviot Company Limited
CHOICEIN,Unknown,Choice International Limited
CHOLAFIN,Unknown,Cholamandalam Investment and Finance Company Limited
CHOLAHLDNG,Unknown,Cholamandalam Financial Holdings Limited
CIEINDIA,Unknown,CIE Automotive India Limited
CIFL,Unknown,Capital India Finance Limited
CINELINE,Unknown,Cineline India Limited
CINEVISTA,Unknown,Cinevista Limited
CIPLA,Unknown,Cipla Limited
CLEAN,Unknown,Clean Science and Technology Limited
CLEANMAX,Unknown,Clean Max Enviro Energy Solutions Limited
CLSEL,Unknown,Chaman Lal Setia Exports Limited
CMLL,Unknown,Caliber Mining and Logistics Limited
CMPDI,Unknown,Central Mine Planning & Design Institute Limited
CMRGREEN,Unknown,CMR Green Technologies Limited
CMSINFO,Unknown,CMS Info Systems Limited
CNL,Unknown,Creative Newtech Limited
COALINDIA,Unknown,Coal India Limited
COASTCORP,Unknown,Coastal Corporation Limited
COCHINSHIP,Unknown,Cochin Shipyard Limited
COCKERILL,Unknown,John Cockerill India Limited
COFORGE,Unknown,Coforge Limited
COHANCE,Unknown,Cohance Lifesciences Limited
COLPAL,Unknown,Colgate Palmolive (India) Limited
COMFINTE,Unknown,Comfort Intech Limited
COMPEAU,Unknown,Competent Automobiles Company Limited
COMPUSOFT,Unknown,Compucom Software Limited
COMSYN,Unknown,Commercial Syn Bags Limited
CONCOR,Unknown,Container Corporation of India Limited
CONCORDBIO,Unknown,Concord Biotech Limited
CONFIPET,Unknown,Confidence Petroleum India Limited
CONTROLPR,Unknown,Control Print Limited
CORALFINAC,Unknown,Coral India Finance & Housing Limited
CORDELIA,Unknown,Waterways Leisure Tourism Limited
CORDSCABLE,Unknown,Cords Cable Industries Limited
COROMANDEL,Unknown,Coromandel International Limited
CORONA,Unknown,CORONA Remedies Limited
COSMOFIRST,Unknown,COSMO FIRST LIMITED
CPCAP,Unknown,CP Capital Limited
CPEDU,Unknown,Career Point Edutech Limited
CPL,Unknown,Captain Polyplast Limited
CPPLUS,Unknown,Aditya Infotech Limited
CRAFTSMAN,Unknown,Craftsman Automation Limited
CRAMC,Unknown,Canara Robeco Asset Management Company Limited
CRAVATEX,Unknown,Cravatex Limited
CREATIVEYE,Unknown,Creative Eye Limited
CREDITACC,Unknown,CREDITACCESS GRAMEEN LIMITED
CREST,Unknown,Crest Ventures Limited
CRISIL,Unknown,Crisil Limited
CRIZAC,Unknown,Crizac Limited
CROMPTON,Unknown,Crompton Greaves Consumer Electricals Limited
CROWN,Unknown,Crown Lifters Limited
CSBBANK,Unknown,CSB Bank Limited
CSLFINANCE,Unknown,CSL Finance Limited
CSM,Unknown,CSM Technologies Limited
CUB,Unknown,City Union Bank Limited
CUBEXTUB,Unknown,Cubex Tubings Limited
CUMMINSIND,Unknown,Cummins India Limited
CUPID,Unknown,Cupid Limited
CURAA,Unknown,Cura Technologies Limited
CYBERMEDIA,Unknown,Cyber Media (India) Limited
CYIENT,Unknown,Cyient Limited
CYIENTDLM,Unknown,Cyient DLM Limited
DABUR,Unknown,Dabur India Limited
DAICHI,Unknown,Dai-Ichi Karkaria Limited
DALBHARAT,Unknown,Dalmia Bharat Limited
DALMIASUG,Unknown,Dalmia Bharat Sugar and Industries Limited
DAMCAPITAL,Unknown,Dam Capital Advisors Limited
DANGEE,Unknown,Dangee Dums Limited
DATAMATICS,Unknown,Datamatics Global Services Limited
DATAPATTNS,Unknown,Data Patterns (India) Limited
DAVANGERE,Unknown,Davangere Sugar Company Limited
DBCORP,Unknown,D.B.Corp Limited
DBL,Unknown,Dilip Buildcon Limited
DBOL,Unknown,Dhampur Bio Organics Limited
DBREALTY,Unknown,Valor Estate Limited
DCAL,Unknown,Dishman Carbogen Amcis Limited
